skater,trick,date,url,stance,status
heath kirchart,frontside lipslide,07-21-2009,http://theberrics.com/trickipedia/frontside-lipslide.html,goofy,pro
manny santiago,kickflip backside 5050,07-14-2009,http://theberrics.com/trickipedia/kickflip-backside-5050.html,goofy,pro
karl watson,frontside noseslide,07-07-2009,http://theberrics.com/trickipedia/frontside-noseslide.html,regular,pro
rodrigo petersen,switch frontside flip,06-30-2009,http://theberrics.com/trickipedia/switch-frontside-flip.html,regular,am
ben fisher,fakie 5-0 grind,06-23-2009,http://theberrics.com/trickipedia/fakie-5-0-grind.html,regular,am
shane o'neill,frontside nollie kickflip,06-16-2009,http://theberrics.com/trickipedia/frontside-nollie-kickflip.html,goofy,pro
wieger van wageningen,inward heelflip,06-09-2009,http://theberrics.com/trickipedia/inward-heelflip.html,goofy,pro
justin brock,frontside bigspin,06-02-2009,http://theberrics.com/trickipedia/frontside-bigspin.html,regular,pro
chase gabor,filming,05-26-2009,http://theberrics.com/trickipedia/filming.html,goofy,am
andrew brophy,ollie,05-19-2009,http://theberrics.com/trickipedia/ollie.html,regular,pro
nick mclouth,backside nosegrind,05-12-2009,http://theberrics.com/trickipedia/backside-nosegrind.html,goofy,am
jeron wilson,frontside tailslide,05-05-2009,http://theberrics.com/trickipedia/frontside-tailslide.html,regular,pro
steve nesser,frontside ollie,04-21-2009,http://theberrics.com/trickipedia/frontside-ollie.html,regular,pro
eli reed,backside lipslide,03-10-2009,http://theberrics.com/trickipedia/backside-lipslide.html,regular,pro
josh kalis,frontside noseblunt,02-24-2009,http://theberrics.com/trickipedia/frontside-noseblunt.html,goofy,pro
javier nunez,frontside nollie heelflip,02-17-2009,http://theberrics.com/trickipedia/frontside-nollie-heelflip.html,regular,pro
eric koston,backside tailslide,02-10-2009,http://theberrics.com/trickipedia/backside-tailslide.html,goofy,pro
daniel castillo,frontside 360,02-03-2009,http://theberrics.com/trickipedia/frontside-360.html,regular,am
